"id","question","options","answer","storylineHintKey","fallbackHint"
"104","The 'Thousand Islands Arts Center' in Clayton offers classes and exhibits primarily focused on what?","Digital art and animation|Traditional crafts like weaving, pottery, and painting|Automotive design|Culinary arts","Traditional crafts like weaving, pottery, and painting","local_culture_clue","The Arts Center, also known as Home of the Handweaving Museum, preserves and promotes traditional arts and crafts of the region."
"105","If someone refers to 'A-Bay', which Thousand Islands town are they likely talking about?","Kingston, ON|Clayton, NY|Alexandria Bay, NY|Gananoque, ON","Alexandria Bay, NY","us_tourism_hub_1","'A-Bay' is the common local nickname for Alexandria Bay, a major tourist hub on the U.S. side of the river."
"106","What is the 'Thousand Islands Museum' in Clayton primarily focused on?","Dinosaurs|The maritime history of the region|Space exploration|Modern art","The maritime history of the region","boat_museum_1","The Thousand Islands Museum in Clayton preserves and shares the local history of the river, from the Gilded Age to the local communities."
"107","Which of these birds is a common waterfowl, often seen in large flocks in the Thousand Islands?","Flamingo|Canada Goose|Kiwi|Emu","Canada Goose","flora_fauna_clue","Large flocks of Canada Geese are a very common sight throughout the Thousand Islands, both in the water and on land."
"108","The 'Ivy Lea Bridge' is part of which larger bridge system?","Ogdensburg-Prescott International Bridge|Thousand Islands Bridge|Cornwall-Massena International Bridge|Skyway Bridge","Thousand Islands Bridge","bridge_info_1","The Ivy Lea Bridge is the name for the continuous truss bridge on the Canadian side of the Thousand Islands Bridge system."
"109","What does 'CIP' stand for in the context of the 'Thousand Islands Bridge Authority CIP'?","Castle Improvement Project|Canadian Investment Program|Capital Improvement Plan|Community Involvement Project","Capital Improvement Plan","bridge_info_1","A Capital Improvement Plan (CIP) is a standard government term for planning major infrastructure projects and maintenance over several years."
"110","Which type of tour is popular for viewing the 'Millionaire's Row' of historic island homes?","Helicopter tour|Bus tour|Boat tour|Walking tour","Boat tour","cottage_country_1","Boat tours are the best way to see the lavish Gilded Age 'cottages' of Millionaire's Row, as most are on private islands."
"111","What is 'Wolfe Island' known for, besides being the largest of the Thousand Islands?","Its active volcano|Wind turbines and agriculture|A major international airport|Ski resorts","Wind turbines and agriculture","island_count_1","Wolfe Island is home to a large wind farm and has a strong agricultural community, accessible by ferry from both Kingston, ON, and Cape Vincent, NY."
"112","The 'Great Waterway' is a tourism region in Ontario that heavily features which river?","The Hudson River|The Mississippi River|The St. Lawrence River|The Niagara River","The St. Lawrence River","river_origin_clue","The Great Waterway tourism region follows the routes of the Rideau Canal and the St. Lawrence River, highlighting its rich history and natural beauty."
"113","What is the primary role of the 'Thousand Islands Bridge Authority'?","Operating tour boats|Managing Boldt Castle|Operating and maintaining the Thousand Islands Bridge system|Enforcing fishing regulations","Operating and maintaining the Thousand Islands Bridge system","bridge_info_1","The TIBA is a bi-national public authority responsible for the safe and efficient operation of the Thousand Islands Bridge."
"114","What type of fish is often referred to as a 'river monster' due to its size and fighting ability?","Goldfish|Sunfish|Sturgeon|Minnow","Sturgeon","fish_expert_clue","The Lake Sturgeon is a prehistoric fish that can grow to immense sizes in the St. Lawrence River, though it is a protected species."
"115","The 'Rockport Boat Line' offers tours departing from which Canadian village?","Ivy Lea|Rockport|Gananoque|Kingston","Rockport","canadian_gateway_1","Rockport is a small, picturesque village on the Canadian side that is a popular base for boat tours of the islands."
"116","Which historic military conflict significantly shaped the border in the Thousand Islands region?","The American Civil War|The French Revolution|The War of 1812|The Crusades","The War of 1812","war_history_clue","The War of 1812 between the United States and Great Britain solidified the border and led to the construction of forts on both sides of the river."
"117","What does 'NavCan' refer to in relation to the St. Lawrence Seaway?","A brand of canoe|Canada's air and marine navigation service provider|A type of fishing net|A historical ship","Canada's air and marine navigation service provider","seaway_journey_1","NAV CANADA is the private, non-profit corporation that owns and operates Canada's civil air navigation system and marine traffic control."
"118","Many of the grand 'cottages' in the Thousand Islands were built during which architectural era?","Prehistoric|Victorian and Gilded Age|Art Deco|Brutalist","Victorian and Gilded Age","cottage_country_1","The late 19th and early 20th centuries were the peak of opulent cottage construction by wealthy industrialists."
"119","What is the 'Frontenac Arch', geologically speaking?","A man-made bridge|An ancient extension of the Canadian Shield|A deep underwater trench|A series of caves","An ancient extension of the Canadian Shield","geology_mystery_clue","The Frontenac Arch is a granite bridge of the Canadian Shield that extends south to the Adirondack Mountains, forming the bedrock of the Thousand Islands."
"120","The 'Thousand Islands Parkway' in Canada is part of what larger scenic route system?","The Trans-Canada Highway|Route 66|The Waterfront Trail|The Appalachian Trail","The Waterfront Trail","scenic_byway_1","The Great Lakes Waterfront Trail is a signed route connecting 155 communities along the shores of the Great Lakes and the St. Lawrence River."
"121","What common water sport involves standing on a board and using a paddle?","Water skiing|Wakeboarding|Stand-Up Paddleboarding (SUP)|Jet skiing","Stand-Up Paddleboarding (SUP)","water_activity_1","Stand-up paddleboarding is a popular way to explore the calm coves and shorelines of the islands."
"122","The 'Brockville Railway Tunnel', Canada's first, is now a popular attraction featuring what?","Active train service|An underground shopping mall|A pedestrian walkway with light and sound show|A museum of steam engines","A pedestrian walkway with light and sound show","local_culture_clue","This historic tunnel has been repurposed as a unique public park with a colorful LED light show and music."
"123","Which of these is a key ingredient in traditional Thousand Island Dressing?","Blue cheese|Mayonnaise|Peanut butter|Anchovies","Mayonnaise","dressing_origin_1","Most recipes for Thousand Island Dressing start with a mayonnaise base, with other ingredients like ketchup, pickle relish, and chopped eggs added."
"124","The 'Admiralty Islands' group is found within which larger archipelago?","The Hawaiian Islands|The Florida Keys|The Thousand Islands|The Galapagos Islands","The Thousand Islands","island_count_1","The Admiralty Islands are a specific cluster of islands within the Thousand Islands, located on the Canadian side near Gananoque."
"125","What is 'shore dinner', a traditional Thousand Islands meal, typically cooked over?","A microwave|An open wood fire|A solar oven|An induction cooktop","An open wood fire","island_traditions_clue","A traditional shore dinner, often prepared by fishing guides, involves cooking freshly caught fish over an open fire on an island shore."
"126","The 'Thousand Islands International Regatta' primarily features what type of boats?","Submarines|Sailboats|Cruise ships|Hovercraft","Sailboats","skiff_life_1","A regatta is a sporting event consisting of a series of boat races, and in this region, it typically involves sailboats."
"127","What is the common name for the 'Cervus canadensis' sometimes spotted in mainland areas near the Thousand Islands?","Moose|Elk|White-tailed Deer|Caribou","Elk","flora_fauna_clue","Cervus canadensis is the scientific name for the Elk, a large species of deer that has been reintroduced to parts of Ontario."
"128","Dark Island's Singer Castle was designed by which prominent architect?","Frank Lloyd Wright|Stanford White|Ernest Flagg|Frederick Law Olmsted","Ernest Flagg","singer_castle_1","Ernest Flagg was a notable American architect known for designing the Singer Building in New York City, which was once the world's tallest building."
"129","The St. Lawrence River is part of the 'Great Lakes Basin'. What does this mean?","It flows into the Great Lakes|It is the primary drainage outlet for the Great Lakes system|It is a man-made canal connecting the lakes|It is unrelated to the Great Lakes","It is the primary drainage outlet for the Great Lakes system","seaway_journey_1","The Great Lakes Basin is the entire area of land that drains into the Great Lakes, and the St. Lawrence River is the final outlet for that water to the ocean."
"130","What is 'Cape Vincent, NY' notable for, in relation to the St. Lawrence River?","It's where the river ends|It's near where Lake Ontario flows into the St. Lawrence River|It's famous for its suspension bridge|It's primarily an industrial port","It's near where Lake Ontario flows into the St. Lawrence River","river_origin_clue","Cape Vincent is located at the very beginning of the St. Lawrence River, offering views of the river's start and the vastness of Lake Ontario."
"131","What does one short blast of a ship's horn typically mean when vessels are in sight of one another?","I am altering my course to starboard (right).|I am altering my course to port (left).|I am operating astern propulsion (backing up).|Danger, I cannot understand your intentions.","I am altering my course to starboard (right).","seaway_journey_1","One short blast signals the intention to pass on the port (left) side of the other vessel, known as a 'port-to-port' passing."
"132","What signal does a vessel make if it does not understand the intention or action of an approaching vessel?","One prolonged blast.|Two short blasts.|Five or more short and rapid blasts.|One short blast followed by one prolonged blast.","Five or more short and rapid blasts.","shoal_definition_1","This is known as the 'danger signal' and indicates confusion or disagreement with the other vessel's proposed maneuver."
"133","On the St. Lawrence Seaway, what is a ""Laker""?","A type of small pleasure boat.|A large cargo ship designed for the Great Lakes and Seaway.|A migratory bird.|A resident of the Thousand Islands.","A large cargo ship designed for the Great Lakes and Seaway.","laker_definition_1","Lakers, or Great Lakes freighters, are uniquely long and narrow to maximize cargo while still fitting through the Seaway's locks."
"134","Two short blasts from a ship's horn generally indicate:","I intend to leave you on my starboard side.|I am altering my course to port (left).|I am stopped and making no way through the water.|My vessel is in distress.","I am altering my course to port (left).","seaway_journey_1","Two short blasts indicate the intention to pass on the starboard (right) side of the other vessel, a 'starboard-to-starboard' passing."
"135","What does one prolonged blast followed by two short blasts from a ship in restricted visibility (like fog) typically indicate?","A power-driven vessel underway making way.|A vessel at anchor.|A sailing vessel.|A vessel towing or pushing another ahead.","A vessel towing or pushing another ahead.","shoal_definition_1","This specific horn signal is required by maritime law to alert other vessels of a towing operation in low visibility conditions."
"136","In New York State, what is the minimum age to operate a Personal Watercraft (PWC) alone after completing a safety course?","12 years old|14 years old|16 years old|18 years old","14 years old","water_activity_1","New York State law requires PWC operators to be at least 14 and to have passed a certified boater safety course."
"137","What color are nun buoys, and how should you pass them when returning from sea (upstream)?","Green, pass on your port (left) side.|Red, pass on your starboard (right) side.|Black, pass on your starboard (right) side.|Yellow, pass on either side.","Red, pass on your starboard (right) side.","lighthouse_legend_clue","A helpful mnemonic is 'Red, Right, Returning' - keep the red, cone-shaped nun buoys to your right when heading upstream."
"138","Which of these is a U.S. Coast Guard approved Personal Flotation Device (PFD) Type I designed for?","Calm inland waters, provides minimal buoyancy.|Offshore use where rescue may be slow, turns most unconscious wearers face-up.|Throwable device.|Flotation aid for watersports, not for rough water.","Offshore use where rescue may be slow, turns most unconscious wearers face-up.","skiff_life_1","Type I PFDs offer the most buoyancy and are designed for rough, open water where rescue might not be immediate."
"139","What is the legal blood alcohol concentration (BAC) limit for boating under the influence (BUI) in New York State for adults?","0.02%|0.05%|0.08%|0.10%","0.08%","island_traditions_clue","The penalties for BUI are similar to those for driving while intoxicated (DWI) and can include fines, suspension of boating privileges, and jail time."
"140","When two power-driven vessels are meeting head-on, what action should both vessels take?","Both alter course to starboard (right) and pass port-to-port.|Both alter course to port (left) and pass starboard-to-starboard.|The smaller vessel gives way.|The vessel on the right has the right-of-way.","Both alter course to starboard (right) and pass port-to-port.","shoal_definition_1","In a head-on situation, both boats should turn right to avoid collision, allowing them to pass each other on their left (port) sides."
"141","What does a white buoy with a blue band indicate in New York waters?","Danger area|Information or regulatory marker|Mooring buoy|Channel marker","Mooring buoy","lighthouse_legend_clue","This specific buoy design indicates a permanent anchor point where a boat can be tied up."
"142","According to New York State law, children under what age must wear a USCG-approved PFD when on a vessel less than 65 feet?","Under 6 years old|Under 10 years old|Under 12 years old|Under 16 years old","Under 12 years old","water_activity_1","This law applies to all recreational vessels (including canoes and kayaks) unless the child is in a fully enclosed cabin."
"143","What is the primary purpose of a boat's ventilation system for gasoline engines?","To cool the engine.|To remove explosive fuel vapors from the bilge.|To provide fresh air to the cabin.|To reduce engine noise.","To remove explosive fuel vapors from the bilge.","skiff_life_1","Gasoline vapors are heavier than air and can collect in the bilge, creating a serious explosion risk. Proper ventilation is essential for safety."
"144","If you see a red flag with a white diagonal stripe on the water, what does it signify?","Racing event in progress.|Divers down, keep well clear.|Fishing nets deployed.|Vessel in distress.","Divers down, keep well clear.","water_activity_1","This is the 'diver down' flag, indicating that scuba divers are in the water nearby. Boats must keep a safe distance and operate at slow speed."
"145","When operating a boat near a swimming area, what is a crucial safety practice?","Maintain high speed for quick passage.|Operate at slow, no-wake speed and keep a lookout.|Sound your horn continuously.|Anchor directly in the swimming area.","Operate at slow, no-wake speed and keep a lookout.","skiff_life_1","Designated swimming areas must be approached with extreme caution and at idle speed to ensure the safety of people in the water."
"146","What is a ""capacity plate"" on a boat primarily used for?","To display the boat's name and home port.|To indicate the maximum weight capacity and/or number of people the boat can safely carry.|To list the boat's engine specifications.|To show the boat's registration number.","To indicate the maximum weight capacity and/or number of people the boat can safely carry.","boat_museum_1","Overloading a boat is a major cause of accidents. The capacity plate, required on most boats under 20 feet, provides critical safety limits."
"147","What type of fire extinguisher is generally required on motorboats with enclosed fuel or engine compartments?","Type A (for wood and paper fires)|Type B (for flammable liquids like gasoline and oil)|Type C (for electrical fires)|Type K (for kitchen grease fires)","Type B (for flammable liquids like gasoline and oil)","smugglers_run_1","Class B fire extinguishers are specifically designed to handle fires involving flammable liquids, which are the most common fire hazard on gasoline-powered boats."
"148","When anchoring, what is a common recommended scope (ratio of anchor rode length to water depth plus freeboard)?","1:1|3:1|5:1 to 7:1|10:1","5:1 to 7:1","anchor","A scope of 7:1 means for every foot of depth (from your boat to the riverbed), you should have 7 feet of anchor line out. This ensures the anchor holds properly."
"149","If your boat capsizes, what is generally the safest course of action if the boat remains afloat?","Swim to the nearest shore immediately.|Stay with the boat to be more easily spotted by rescuers.|Try to right the boat by yourself, even in rough water.|Signal other boats by waving your PFD.","Stay with the boat to be more easily spotted by rescuers.","water_activity_1","An overturned boat is a much larger and more visible target for rescuers than a person in the water. Staying with it greatly increases your chance of being found."
"150","In New York, a boat's registration numbers must be displayed on which part of the vessel?","On the stern (back) only.|On both sides of the forward half (bow) of the vessel.|On the cabin roof.|Anywhere visible.","On both sides of the forward half (bow) of the vessel.","boat_museum_1","The registration numbers must be painted or affixed to both sides of the bow in block letters at least three inches high for clear identification."
"151","What is the term for the front edge of a sail?","Leech|Luff|Foot|Tack","Luff","skiff_life_1","The luff is the forward edge of a sail that runs along the mast. Proper tension on the luff is crucial for sail shape and performance."
"152","When a sailboat is sailing ""close-hauled,"" what is its general direction relative to the wind?","Sailing directly downwind.|Sailing as close to the direction the wind is coming from as possible.|Sailing with the wind directly on its side (beam reach).|Sailing away from the wind at a wide angle.","Sailing as close to the direction the wind is coming from as possible.","water_activity_1","Sailing close-hauled is the point of sail that allows a boat to make progress upwind, typically at about a 45-degree angle to the wind."
"153","What is the ""boom"" on a sailboat?","The main body of the boat.|The horizontal spar at the bottom of the mainsail.|The rope used to raise the mainsail.|The forwardmost point of the boat.","The horizontal spar at the bottom of the mainsail.","skiff_life_1","The boom holds the bottom edge (foot) of the mainsail and must be carefully controlled, as an unexpected swing can be dangerous."
"154","When two sailboats on opposite tacks are approaching each other, which boat generally has the right-of-way?","The boat on port tack (wind coming over its port side).|The boat on starboard tack (wind coming over its starboard side).|The faster boat.|The larger boat.","The boat on starboard tack (wind coming over its starboard side).","water_activity_1","The starboard tack boat is the 'stand-on' vessel and has the right-of-way. The port tack boat is the 'give-way' vessel and must alter course."
"155","What is ""tacking"" in sailing?","Turning the stern of the boat through the wind.|Turning the bow of the boat through the wind so the wind changes from one side to the other.|Lowering the sails quickly.|Anchoring the boat.","Turning the bow of the boat through the wind so the wind changes from one side to the other.","water_activity_1","Tacking is the fundamental maneuver used to sail in a zig-zag pattern upwind."
"156","Which large, toothy predator, known as the ""fish of 10,000 casts,"" is a prized game fish in the Thousand Islands?","Walleye|Yellow Perch|Muskellunge (Muskie)|Smallmouth Bass","Muskellunge (Muskie)","fish_expert_clue","The Muskellunge, or Muskie, is notoriously difficult to catch, earning it the nickname 'the fish of 10,000 casts' due to its elusive nature."
"157","This fish has a long, slender body, a duckbill-shaped snout, and sharp teeth, often ambushing prey from weedy areas.","Channel Catfish|Northern Pike|Lake Trout|Common Carp","Northern Pike","fish_expert_clue","Northern Pike are aggressive predators known for their explosive strikes from weed beds and their distinctive, bean-shaped light spots on a dark body."
"158","Known for its delicious white flesh and large, opaque eyes that help it see in low light, this fish is popular among anglers.","Brown Bullhead|Walleye|Rock Bass|Pumpkinseed Sunfish","Walleye","fish_expert_clue","The Walleye's large, glassy eyes are due to a reflective layer called the tapetum lucidum, which gives them excellent vision in dark or murky water."
"159","A feisty fighter, this bronze-backed fish with vertical bars on its sides prefers rocky and gravelly areas.","Largemouth Bass|Smallmouth Bass|Yellow Perch|Atlantic Salmon","Smallmouth Bass","fish_expert_clue","Often called 'bronzebacks,' Smallmouth Bass are renowned for their powerful fights and are a favorite target for sport fishermen in the river's currents."
"160","This fish has a large mouth extending beyond its eye and a prominent dark horizontal stripe along its side, often found near submerged vegetation.","Smallmouth Bass|Largemouth Bass|Steelhead|Brown Trout","Largemouth Bass","fish_expert_clue","Unlike its smallmouth cousin, the Largemouth Bass prefers calmer, weedier waters. Its jaw extends well past its eye, giving it its name."
"161","A smaller, schooling fish with yellow sides and dark vertical bands, often a target for ice fishing.","Muskellunge|Yellow Perch|Lake Sturgeon|Channel Catfish","Yellow Perch","fish_expert_clue","Yellow Perch are a popular panfish, known for their tasty meat and willingness to bite, making them a great fish for young anglers to catch."
"162","This cold-water fish, typically found in deeper parts of Lake Ontario and the St. Lawrence, has a deeply forked tail and light spots on a dark background.","Brown Trout|Lake Trout|Rainbow Trout|Brook Trout","Lake Trout","fish_expert_clue","Lake Trout are native to the Great Lakes and are one of the top deep-water predators in the ecosystem, capable of living for many decades."
"163","Introduced from Europe, this salmonid is known for its buttery-yellow to brown color and prominent black and red spots, some haloed.","Atlantic Salmon|Steelhead|Brown Trout|Coho Salmon","Brown Trout","fish_expert_clue","Brown Trout are highly adaptable and can be wary, making them a challenging and rewarding catch for experienced trout anglers."
"164","This anadromous fish (migrates from saltwater to freshwater to spawn) is a silver-colored, sea-run form of Rainbow Trout.","Chinook Salmon|Steelhead|Pink Salmon|Lake Whitefish","Steelhead","fish_expert_clue","Steelhead are rainbow trout that migrate to the ocean (or Great Lakes) to mature before returning to rivers to spawn. They are known for their spectacular acrobatic fights."
"165","Once nearly extirpated from Lake Ontario, this ""king of fish"" is making a comeback and is known for its leaping ability.","American Eel|Atlantic Salmon|Common Carp|Sheepshead","Atlantic Salmon","fish_expert_clue","The Atlantic Salmon is the only native salmon to the Great Lakes basin. Restoration efforts are helping to bring back this legendary sport fish."
"166","This smooth-skinned fish with barbels (""whiskers"") around its mouth is a bottom-dweller, often caught at night.","Northern Pike|Walleye|Channel Catfish|Yellow Perch","Channel Catfish","fish_expert_clue","The 'whiskers' on a Channel Catfish are sensory organs called barbels, which help it locate food along the river bottom."
"167","A smaller cousin of the Channel Catfish, this dark-colored catfish has a square or slightly rounded tail.","Blue Catfish|Flathead Catfish|Brown Bullhead|White Catfish","Brown Bullhead","fish_expert_clue","Brown Bullheads are extremely hardy and common in many of the calmer bays and backwaters of the St. Lawrence River."
"168","This scrappy panfish has a large mouth, red eyes, and a dark, blotchy appearance, often found around rocks and submerged structures.","Bluegill|Pumpkinseed Sunfish|Rock Bass|Black Crappie","Rock Bass","fish_expert_clue","True to their name, Rock Bass are almost always found near rocky bottoms, docks, and break walls, where they are aggressive feeders."
"169","A colorful sunfish with an orange spot on its gill cover (operculum) and wavy blue lines on its cheeks.","Green Sunfish|Longear Sunfish|Pumpkinseed Sunfish|Warmouth","Pumpkinseed Sunfish","fish_expert_clue","The Pumpkinseed is one of the most vibrant and colorful native fish in the region, easily identified by the bright red-orange spot on its 'ear' flap."
"170","An invasive species originally from Asia, this large, coarse-scaled fish is known for its hardiness and ability to tolerate poor water quality.","Goldfish|Common Carp|Grass Carp|Bighead Carp","Common Carp","fish_expert_clue","Common Carp were introduced to North America in the 1800s and have since become widespread. They are strong fighters but are not typically eaten."
